unnamed:_0,age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk
0,67,1,2,1,2,0,1169,6,5,1
1,22,0,2,1,0,1,5951,48,5,0
2,49,1,1,1,0,2,2096,12,3,1
3,45,1,2,0,0,0,7882,42,4,1
4,53,1,2,0,0,0,4870,24,1,0
5,35,1,1,0,2,2,9055,36,3,1
6,53,1,2,1,3,2,2835,24,4,1
7,35,1,3,2,0,1,6948,36,1,1
8,61,1,1,1,4,2,3059,12,5,1
9,28,1,3,1,0,1,5234,30,1,0
10,25,0,2,2,0,1,1295,12,1,0
11,24,0,2,2,0,0,4308,48,0,0
12,22,0,2,1,0,1,1567,12,5,1
13,60,1,1,1,0,0,1199,24,1,0
14,28,0,2,2,0,0,1403,15,1,1
15,32,0,1,1,1,0,1282,24,5,0
16,53,1,2,1,2,2,2424,24,5,1
17,25,1,2,1,2,0,8072,30,0,1
18,44,0,3,0,0,1,12579,24,1,0
19,31,1,2,1,3,2,3430,24,5,1
20,48,1,2,1,0,2,2134,9,1,1
21,44,1,2,2,3,0,2647,6,5,1
22,48,1,1,2,0,0,2241,10,1,1
23,44,1,2,1,1,1,1804,12,1,1
24,26,1,2,1,2,2,2069,10,4,1
25,36,1,1,1,0,0,1374,6,4,1
26,39,1,1,1,0,2,426,6,5,1
27,42,0,2,2,4,3,409,12,5,1
28,34,1,2,1,0,1,2415,7,5,1
29,63,1,2,1,0,0,6836,60,0,0
30,36,1,2,1,4,1,1913,18,0,1
31,27,1,2,1,0,0,4020,24,4,1
32,30,1,2,1,1,1,5866,18,1,1
33,57,1,1,2,2,2,1264,12,0,1
34,33,0,3,1,0,3,1474,12,4,1
35,25,1,1,1,0,1,4746,45,5,0
36,31,1,2,0,0,2,6110,48,3,1
37,37,1,2,1,0,3,2100,18,5,0
38,37,1,2,1,0,3,1225,10,2,1
39,24,1,2,1,0,1,458,9,5,1
40,30,1,3,1,3,2,2333,30,5,1
41,26,1,2,1,3,1,1158,12,5,1
42,44,1,1,1,0,1,6204,18,6,1
43,24,1,2,2,1,0,6187,30,1,1
44,58,0,1,0,0,0,6143,48,1,0
45,35,0,3,1,0,2,1393,11,1,1
46,39,1,2,1,3,2,2299,36,5,1
47,23,0,0,2,3,0,1352,6,1,1
48,39,1,1,1,0,2,7228,11,1,1
49,28,0,2,1,1,2,2073,12,5,1
50,29,1,1,1,2,1,2333,24,4,1
51,30,1,3,1,0,1,5965,27,1,1
52,25,1,2,1,0,2,1262,12,5,1
53,31,1,2,1,2,2,3378,18,1,1
54,57,1,2,0,0,1,2225,36,1,0
55,26,1,1,1,2,2,783,6,1,1
56,52,1,3,1,2,1,6468,12,5,0
57,31,0,2,1,0,2,9566,36,5,1
58,23,0,3,1,0,3,1961,18,1,1
59,23,0,1,2,0,0,6229,36,4,0
60,27,1,2,1,0,1,1391,9,0,1
61,50,1,2,1,2,1,1537,15,5,1
62,61,1,3,0,0,1,1953,36,0,0
63,25,1,2,1,0,1,14421,48,0,0
64,26,0,2,1,0,2,3181,24,5,1
65,48,1,2,1,2,2,5190,27,6,1
66,29,0,2,1,0,2,2171,12,5,1
67,22,1,2,1,4,1,1007,12,1,1
68,37,1,2,0,0,2,1819,36,3,0
69,25,0,2,1,2,2,2394,36,5,1
70,30,0,2,1,0,2,8133,36,1,1
71,46,1,1,2,2,2,730,7,5,1
72,51,1,3,0,0,0,1164,8,7,1
73,41,0,1,1,0,1,5954,42,0,1
74,40,1,3,1,2,0,1977,36,3,0
75,66,1,3,0,0,0,1526,12,1,1
76,34,1,2,1,0,0,3965,42,5,0
77,51,1,2,1,0,1,4771,11,5,1
78,39,1,1,1,2,2,9436,54,1,1
79,22,1,2,1,0,1,3832,30,4,1
80,44,0,2,1,2,2,5943,24,5,0
81,47,1,2,1,3,2,1213,15,5,1
82,24,0,1,2,1,2,1568,18,0,1
83,58,0,1,1,0,0,1755,24,7,1
84,52,1,1,1,0,0,2315,10,5,1
85,29,0,3,1,0,2,1412,12,0,1
86,27,0,2,1,0,1,1295,18,4,1
87,47,1,2,0,1,1,12612,36,3,0
88,30,1,3,1,1,0,2249,18,1,1
89,28,1,2,1,0,0,1108,12,6,0
90,56,1,2,1,0,2,618,12,5,1
91,54,1,2,1,0,0,1409,12,1,1
92,33,0,1,1,2,2,797,12,5,0
93,20,1,2,2,2,3,3617,24,4,1
94,54,1,2,1,4,1,1318,12,1,1
95,58,1,2,2,0,1,15945,54,0,0
96,61,0,2,1,2,2,2012,12,3,1
97,34,1,2,1,1,1,2622,18,0,1
98,36,1,2,1,0,1,2337,36,5,1
99,36,1,3,2,2,1,7057,20,1,1
100,41,1,1,2,1,2,1469,24,1,1
101,24,1,2,2,0,1,2323,36,5,1
102,24,0,2,1,0,2,932,6,5,1
103,35,1,2,2,0,1,1919,9,4,1
104,26,1,2,2,2,2,2445,12,1,1
105,39,1,3,1,0,1,11938,24,7,0
106,39,1,3,1,0,2,6458,18,1,0
107,32,1,2,1,0,1,6078,12,1,1
108,30,0,2,1,2,0,7721,24,4,1
109,35,1,2,1,3,1,1410,14,0,1
110,31,1,2,1,1,1,1449,6,0,1
111,23,0,2,2,0,3,392,15,3,1
112,28,1,1,2,0,1,6260,18,1,1
113,25,0,2,1,0,2,7855,36,1,0
114,35,1,2,1,3,0,1680,12,5,1
115,47,1,2,1,2,2,3578,48,5,1
116,30,0,3,1,2,0,7174,42,5,0
117,27,0,2,2,2,0,2132,10,4,1
118,23,0,2,1,3,0,4281,33,4,0
119,36,1,3,1,3,1,2366,12,1,1
120,25,0,2,1,0,0,1835,21,5,0
121,41,0,3,2,0,2,3868,24,1,1
122,24,1,1,2,0,2,1768,12,4,1
123,63,1,2,0,0,3,781,10,1,1
124,27,0,2,2,2,1,1924,18,4,0
125,30,1,2,1,0,0,2121,12,1,1
126,40,1,1,1,0,0,701,12,5,1
127,30,1,2,1,0,1,639,12,6,0
128,34,1,3,1,0,1,1860,12,1,1
129,29,0,2,1,0,0,3499,12,1,0
130,24,0,2,1,2,1,8487,48,1,1
131,29,1,2,1,0,0,6887,36,3,0
132,27,1,1,1,0,2,2708,15,4,1
133,47,1,2,0,0,2,1984,18,4,1
134,21,0,2,1,1,2,10144,60,5,1
135,38,0,2,1,2,2,1240,12,5,1
136,27,1,2,1,4,2,8613,27,1,1
137,66,1,1,1,3,1,766,12,5,0
138,35,1,2,1,2,1,2728,15,5,1
139,44,0,1,2,0,3,1881,12,5,1
140,27,1,0,1,4,3,709,6,1,1
141,30,0,3,1,0,1,4795,36,5,1
142,27,1,3,1,0,0,3416,27,5,1
143,22,1,2,1,0,0,2462,18,4,0
144,23,0,2,1,0,2,2288,21,4,1
145,30,1,2,1,1,1,3566,48,0,1
146,39,0,2,1,0,0,860,6,1,1
147,51,0,2,1,1,2,682,12,1,1
148,28,1,2,1,0,0,5371,36,4,1
149,46,1,2,1,4,2,1582,18,5,1
150,42,1,2,0,1,2,1346,6,5,1
151,38,1,2,1,0,2,1924,10,5,1
152,24,1,2,1,0,3,5848,36,5,1
153,29,0,2,2,4,1,7758,24,1,1
154,36,1,3,2,1,1,6967,24,0,1
155,20,0,2,2,0,0,1282,12,4,0
156,48,1,2,1,1,0,1288,9,6,1
157,45,1,1,1,0,0,339,12,3,1
158,38,1,2,1,1,1,3512,24,1,1
159,34,1,1,1,2,2,1898,6,5,1
160,36,1,2,1,1,2,2872,24,5,1
161,30,0,2,1,0,2,1055,18,1,1
162,36,1,2,1,3,2,1262,15,2,1
163,70,1,3,0,0,1,7308,10,1,1
164,36,1,2,1,3,2,909,36,1,1
165,32,1,2,1,3,2,2978,6,4,1
166,33,0,2,1,0,0,1131,18,4,0
167,20,0,2,1,4,1,1577,11,4,1
168,25,0,2,2,0,2,3972,24,4,1
169,31,1,2,1,0,1,1935,24,0,0
170,33,1,2,2,0,0,950,15,1,0
171,26,0,2,1,0,2,763,12,4,1
172,34,0,3,1,0,1,2064,24,4,0
173,33,1,2,1,0,1,1414,8,5,1
174,26,1,2,1,0,0,3414,21,3,0
175,53,0,3,1,2,2,7485,30,1,0
176,42,1,2,1,0,0,2577,12,4,1
177,52,1,2,1,3,0,338,6,5,1
178,31,1,3,2,0,2,1963,12,5,1
179,65,1,2,1,0,0,571,21,1,1
180,28,1,2,1,0,2,9572,36,0,0
181,30,1,3,1,0,1,4455,36,0,0
182,40,1,1,1,2,0,1647,21,1,0
183,50,1,2,1,4,2,3777,24,4,1
184,36,1,2,1,0,1,884,18,1,0
185,31,1,2,1,0,2,1360,15,5,1
186,74,0,3,0,0,1,5129,9,1,0
187,68,1,0,0,0,1,1175,16,1,1
188,20,1,2,1,1,0,674,12,5,0
189,33,0,2,1,0,1,3244,18,4,1
190,54,1,3,1,4,2,4591,24,0,0
191,34,1,1,0,1,1,3844,48,0,0
192,36,1,2,1,0,1,3915,27,0,0
193,29,1,2,2,0,2,2108,6,5,1
194,21,1,2,2,1,1,3031,45,5,0
195,34,0,3,1,0,1,1501,9,3,0
196,28,0,2,1,0,2,1382,6,5,1
197,27,0,2,2,1,1,951,12,4,0
198,36,1,2,0,2,1,2760,24,1,1
199,40,1,3,1,0,1,4297,18,4,0
200,52,1,2,1,3,2,936,9,3,1
201,27,1,1,1,0,0,1168,12,1,1
202,26,1,2,1,0,2,5117,27,0,1
203,21,1,2,2,0,0,902,12,3,0
204,38,1,1,1,0,2,1495,12,1,1
205,38,1,3,0,0,0,10623,30,1,1
206,43,1,2,1,0,2,1935,12,4,1
207,26,1,2,1,0,1,1424,12,2,1
208,21,1,1,1,0,0,6568,24,0,1
